左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,stone,3,嘲讽,R,2935,4,5
ice,2,冰封,basic,1,打击,R,3234,6,6
basic,1,打击,ghost,1,幽冥突袭,R,2506,3,5
fortune,3,招财进宝,basic,1,打击,R,2911,2,5
basic,1,打击,gambler,2,赌注,R,2517,3,5
candy,1,糖果锤,basic,1,打击,R,3176,4,7
basic,1,打击,line,3,墨水炸弹,L,3224,5,4
lava,2,岩浆涌动,basic,1,打击,R,3003,3,6
basic,1,打击,chest,1,清点财宝,R,3616,6,7
hiding,3,强化随从,basic,1,打击,R,3265,5,6
basic,2,龟派气波,stone,1,岩石护盾,R,3281,4,5
angel,3,飞升,basic,2,龟派气波,R,2637,4,5
basic,2,龟派气波,two_head,2,精神干扰/吸收,L,3270,6,5
fortune,1,骰子,basic,2,龟派气波,R,2728,3,6
basic,2,龟派气波,rainbow,3,反射,R,2224,3,4
pirate,2,朗姆酒,basic,2,龟派气波,R,2617,3,6
basic,2,龟派气波,line,1,连笔,L,2668,5,4
phoenix,3,强化涅槃,basic,2,龟派气波,R,3148,3,7
basic,2,龟派气波,crystal,2,碎晶爆破,L,2843,4,3
hiding,1,缩头,basic,2,龟派气波,R,2918,2,5
basic,2,龟派气波,shell,3,暗影,R,4004,6,5
angel,2,平等,basic,3,过肩摔,R,2587,4,5
basic,3,过肩摔,two_head,1,灵能冲击/锤击,L,2633,5,3
diamond,3,钻石冲撞,basic,3,过肩摔,R,2833,4,5
basic,3,过肩摔,rainbow,2,全色风暴,R,2514,3,4
pirate,1,火炮齐射,basic,3,过肩摔,R,2415,2,5
basic,3,过肩摔,bubble,3,泡泡爆破,L,2675,4,3
phoenix,2,烫伤,basic,3,过肩摔,L,2492,4,3
basic,3,过肩摔,crystal,1,水晶壁垒,L,2866,4,3
space,3,扭曲空间,basic,3,过肩摔,R,2498,2,5
basic,3,过肩摔,shell,2,吸收,L,2532,5,3
angel,2,平等,stone,1,岩石护盾,R,3273,7,6
stone,1,岩石护盾,two_head,1,灵能冲击/锤击,L,3579,6,5
diamond,3,钻石冲撞,stone,1,岩石护盾,L,3514,6,5
stone,1,岩石护盾,rainbow,2,全色风暴,R,2367,3,4
pirate,1,火炮齐射,stone,1,岩石护盾,R,3475,4,6
stone,1,岩石护盾,bubble,3,泡泡爆破,L,2940,5,5
phoenix,2,烫伤,stone,1,岩石护盾,L,2707,5,4
stone,1,岩石护盾,crystal,1,水晶壁垒,L,3409,5,4
space,3,扭曲空间,stone,1,岩石护盾,R,2945,3,5
stone,1,岩石护盾,shell,2,吸收,L,3440,6,6
angel,3,飞升,stone,2,磐石之躯,R,3272,6,7
stone,2,磐石之躯,two_head,2,精神干扰/吸收,L,3479,5,5
fortune,1,骰子,stone,2,磐石之躯,R,3039,4,8
stone,2,磐石之躯,rainbow,3,反射,R,2256,3,4
pirate,2,朗姆酒,stone,2,磐石之躯,R,3956,4,10
stone,2,磐石之躯,line,1,连笔,L,3116,7,5
phoenix,3,强化涅槃,stone,2,磐石之躯,L,2944,5,5
stone,2,磐石之躯,crystal,2,碎晶爆破,L,3123,8,2
hiding,1,缩头,stone,2,磐石之躯,L,3844,4,8
stone,2,磐石之躯,shell,3,暗影,R,4022,8,4
ice,2,冰封,stone,3,嘲讽,R,3257,6,4
stone,3,嘲讽,ghost,1,幽冥突袭,R,2482,2,5
fortune,3,招财进宝,stone,3,嘲讽,R,2926,3,5
stone,3,嘲讽,gambler,2,赌注,R,3051,2,6
candy,1,糖果锤,stone,3,嘲讽,R,3301,5,3
stone,3,嘲讽,line,3,墨水炸弹,L,3285,3,4
lava,2,岩浆涌动,stone,3,嘲讽,R,3605,3,5
stone,3,嘲讽,chest,1,清点财宝,L,3088,5,4
hiding,3,强化随从,stone,3,嘲讽,R,3683,7,5
bamboo,1,自然恢复,bamboo,3,竹刺阵,R,2943,3,5
ninja,2,炸弹,bamboo,1,自然恢复,L,2918,5,3
bamboo,1,自然恢复,diamond,1,坚不可摧,R,4344,5,7
dice,3,稳定骰子,bamboo,1,自然恢复,R,2965,2,5
bamboo,1,自然恢复,hunter,2,隐蔽,L,3918,6,7
bubble,1,泡泡盾,bamboo,1,自然恢复,R,3360,4,6
bamboo,1,自然恢复,lightning,3,雷盾,L,3322,5,4
cyber,2,侵入,bamboo,1,自然恢复,L,4459,5,6
bamboo,1,自然恢复,space,1,虫洞,R,3726,5,6
headless,3,灵魂打击,bamboo,1,自然恢复,L,3013,4,3
bamboo,2,竹击,ice,1,冰霜,L,3298,4,5
two_head,3,融合,bamboo,2,竹击,R,3357,4,5
bamboo,2,竹击,fortune,2,梭哈,L,2899,5,2
gambler,1,万能牌,bamboo,2,竹击,R,2910,5,4
bamboo,2,竹击,pirate,3,海盗船,R,3678,3,6
line,2,画龙点睛,bamboo,2,竹击,R,2945,3,5
bamboo,2,竹击,lava,1,地裂,R,3012,3,5
crystal,3,水晶球,bamboo,2,竹击,R,3868,6,4
bamboo,2,竹击,hiding,2,防御,R,3421,3,5
angel,1,祝福,bamboo,3,竹刺阵,R,3054,5,5
bamboo,3,竹刺阵,ninja,3,背刺,R,2859,3,5
diamond,2,钻石滚球,bamboo,3,竹刺阵,R,3182,3,3
bamboo,3,竹刺阵,rainbow,1,棱镜护盾,R,2556,2,9
hunter,3,狩猎弹幕,bamboo,3,竹刺阵,R,2782,4,4
bamboo,3,竹刺阵,bubble,2,泡泡束缚,R,3514,2,7
phoenix,1,熔岩盾,bamboo,3,竹刺阵,L,3276,7,4
bamboo,3,竹刺阵,cyber,3,智能AI,R,4572,4,5
space,2,星波,bamboo,3,竹刺阵,R,2748,3,4
bamboo,3,竹刺阵,shell,1,复制,R,2539,2,4
ninja,1,手里剑,angel,1,祝福,L,2672,4,4
angel,1,祝福,ghost,3,虚化,R,2608,4,4
dice,2,命运骰子,angel,1,祝福,R,3134,3,7
angel,1,祝福,hunter,1,精准射击,R,2737,5,5
candy,3,糖果炸弹,angel,1,祝福,L,3249,6,6
angel,1,祝福,lightning,2,雷暴,R,4065,8,7
cyber,1,能量大炮,angel,1,祝福,L,3523,7,7
angel,1,祝福,chest,3,财宝炮击,R,2799,5,3
headless,2,万千触须,angel,1,祝福,L,3689,3,6
